player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,donor_pool_size,p25,p50,p75,p90,sim_mean,sim_std,actual_season_total
00-0026498,QB,2024,LA,17,17,16,0.8522058823529411,318,223.2466800440342,229.15565678950594,235.0992600249499,240.72354145487816,228.99336743401207,9.069884669522756,214.60000000000002
00-0027973,QB,2024,CAR,17,17,6,0.8017533936651584,318,139.49137475828292,158.61056391157257,180.34000141667553,200.64820201824665,160.53469371043448,30.43204201377424,58.9
00-0028118,QB,2024,NYJ,17,17,2,0.41119909502262453,318,47.08955341151897,62.46503257175775,78.15112350452247,97.51043074108136,64.33155008709714,24.280000599710448,18.0
00-0029263,QB,2024,PIT,17,17,11,0.965686274509804,318,238.95697061757977,251.03479285691276,266.2226943340336,278.50036494283734,252.48194909515848,20.730643921704868,172.79999999999998
00-0029604,QB,2024,ATL,17,17,14,0.7778799019607843,318,196.7510107078237,206.7523968134396,217.01650822825872,228.58704689651293,207.8847705068761,15.551249080481071,176.3
00-0030565,QB,2024,SEA,17,17,17,0.4658088235294118,318,266.1,266.1,266.1,266.1,266.09999999999997,5.684341886080802e-14,266.1
00-0031280,QB,2024,NO,17,17,10,0.9702205882352942,318,222.02369328920565,237.37648547549776,254.94230740732573,270.7184874710139,239.14713879880344,23.459977611920422,149.0
00-0031345,QB,2024,LA,17,17,1,0.49338235294117655,318,75.14067381948686,92.34559657816975,112.54997842770868,130.79771557728012,94.29821782542396,28.13308401582206,19.9
00-0031503,QB,2024,CLE,17,17,12,0.6437908496732027,318,136.46727522625832,147.26606517013158,159.29657048571067,171.8497338553792,148.72384767697892,17.181387207405812,123.19999999999999
00-0031800,QB,2024,LAC,17,17,4,0.3866421568627451,318,18.738885772672695,31.130885140898314,47.323063915788836,62.9320853259024,34.063091271344895,21.694362112571902,3.2
00-0032268,QB,2024,WAS,17,17,3,0.625,318,71.71884801256624,88.83118995608751,107.13569954875561,124.20253791329063,90.90974542262109,26.452367347890295,45.7
00-0032434,QB,2024,SF,17,17,3,0.22886029411764708,318,7.79881529834775,16.80594855714227,26.32157183906691,37.36578257456922,18.45426126534769,14.583568588433122,6.4
00-0032436,QB,2024,WAS,17,17,1,0.28161764705882353,318,2.702064875862642,12.990952633583962,25.075629233301676,37.62041997094875,14.813838122727029,17.126633968323283,0.0
00-0032950,QB,2024,KC,17,17,3,0.7247242647058824,318,44.67521764901335,62.40300658217045,84.01662252967412,103.16610705467222,65.07892675954787,29.925737799965177,4.7
00-0033077,QB,2024,DAL,17,17,8,0.8920036764705882,318,220.00516795316497,238.83075209517693,260.49558283278895,279.49780578905376,240.8191987969466,29.497840508423092,116.5
00-0033106,QB,2024,DET,17,17,17,0.9002757352941176,318,322.50000000000006,322.50000000000006,322.50000000000006,322.50000000000006,322.50000000000006,0.0,322.5
00-0033119,QB,2024,NE,17,17,8,0.6038602941176471,318,94.05281370269518,110.9919545790609,129.77072213706515,146.75914496933976,112.59438149765761,26.196009637837157,43.2
00-0033319,QB,2024,MIN,17,17,4,0.2959558823529412,318,10.781514706839742,22.46048986271284,34.83182899730045,48.901705792560996,23.788675647506267,18.734774772383442,1.4000000000000001
00-0033357,QB,2024,NO,17,17,8,0.931372549019608,318,148.77674028317472,166.19108567400406,184.4514254960978,200.64367162631092,167.22539879528742,26.511862116112614,102.30000000000001
00-0033537,QB,2024,CLE,17,17,7,0.6905637254901961,318,160.8613337735639,180.73468324839257,202.13779819962875,224.64074706178366,182.30591700724207,31.810527845186353,74.6
00-0033662,QB,2024,DAL,17,17,12,0.25735294117647056,318,107.59999999999998,109.07283472048523,117.50125480538362,125.6097139402036,112.49963667720277,9.949560635061447,107.60000000000001
00-0033869,QB,2024,BUF,17,17,9,0.6192226890756302,318,21.62310702508352,32.8906613613013,45.99683605846095,58.100676825701285,34.5230835383753,18.60434509173756,15.3
00-0033873,QB,2024,KC,17,17,16,0.8655462184873949,318,292.15626430623513,297.4194949973554,303.0029011267518,308.9116560953002,297.4026247691464,8.738540756901564,282.90000000000003
00-0033949,QB,2024,SF,17,17,2,0.3134191176470588,318,72.83732222255303,92.23602524991851,111.65842012309479,130.12977791785121,93.79302991483803,28.863397700374684,30.799999999999997
00-0034177,QB,2024,MIA,17,17,3,0.2433823529411765,318,26.029261503065474,36.88442883580716,50.288579579638274,64.32545241827629,39.47418353462865,18.37936258241573,14.0
00-0034401,QB,2024,BUF,17,17,1,0.2745098039215686,318,-6.819904508651148,3.0087342793961986,13.189136876269853,24.46994223216561,3.7027783075229346,15.987731865339631,1.1
00-0034577,QB,2024,PIT,17,17,1,0.30330882352941174,318,0.8,10.841642750596652,22.877139255899092,34.619362959670134,12.415325203223448,16.828589286129965,0.8
00-0034771,QB,2024,TEN,17,17,8,0.33272058823529416,318,108.90296269963306,120.02254453333826,133.9705459949295,147.95005014002925,122.68176753308592,18.886914873821034,93.8
00-0034796,QB,2024,BAL,17,17,17,0.9019607843137255,318,428.4,428.4,428.4,428.4,428.39999999999986,1.1368683772161603e-13,428.4
00-0034855,QB,2024,TB,17,17,17,0.9007352941176471,318,363.80000000000007,363.80000000000007,363.80000000000007,363.80000000000007,363.8000000000001,5.684341886080802e-14,363.8
00-0034857,QB,2024,BUF,17,17,17,0.9583333333333334,318,370.4,370.4,370.4,370.4,370.3999999999999,5.684341886080802e-14,370.4
00-0034869,QB,2024,MIN,17,17,17,0.670343137254902,318,307.8,307.8,307.8,307.8,307.8000000000001,1.1368683772161603e-13,307.80000000000007
00-0035100,QB,2024,CIN,17,17,3,0.5294117647058824,318,64.2793909222244,86.44530338219207,108.79095060355787,130.74175339170378,87.91367718165294,32.21687195397758,-0.2
00-0035228,QB,2024,ARI,17,17,17,0.8,318,295.4,295.4,295.4,295.4,295.4,0.0,295.4
00-0035264,QB,2024,DEN,17,17,3,0.23988970588235298,318,13.51898797445523,24.726002873141574,38.34321292192915,51.773410010184705,27.291623467659097,19.053750998088024,0.49999999999999994
00-0035289,QB,2024,LV,17,17,10,0.5933823529411765,318,126.45456174953667,141.78619189454278,158.05293550612353,172.0623339165836,143.34657499871227,23.00550352021723,94.50000000000001
00-0035704,QB,2024,NYG,17,17,7,0.4283088235294118,318,93.24744814308555,106.58704924179439,120.3375307412293,135.11931615103268,108.40245553712856,20.221916728360945,78.10000000000001
00-0035710,QB,2024,NYG,17,17,10,0.7375,318,179.15798260569738,193.77834058428837,211.19069888084172,228.90636120739597,196.24254040022603,23.871322036712066,135.3
00-0035993,QB,2024,MIA,17,17,5,0.3235294117647059,318,82.81829640858254,97.22658261356504,112.8546847160624,128.8377403715936,98.99678244164815,22.30098008937259,60.7
00-0036212,QB,2024,MIA,17,17,11,0.7886029411764706,318,233.81154400825943,248.75653393073912,265.9745343178471,281.76936376582415,250.12378030448377,24.12164833331536,177.50000000000003
00-0036264,QB,2024,GB,17,17,15,0.5294117647058824,318,236.30782687209955,247.52790461612506,259.8369040813222,270.5352838998149,248.86635895171239,16.168486587834607,227.89999999999998
00-0036355,QB,2024,LAC,17,17,17,0.9255514705882353,318,279.6,279.6,279.6,279.6,279.59999999999997,5.684341886080802e-14,279.59999999999997
00-0036389,QB,2024,PHI,17,17,15,0.9696691176470589,318,349.19410943348794,355.68143220089433,363.7332791655941,371.4882184806949,356.2937024762207,11.656563235741784,315.0
00-0036442,QB,2024,CIN,17,17,17,0.8033088235294118,318,372.90000000000003,372.90000000000003,372.90000000000003,372.90000000000003,372.8999999999999,1.1368683772161603e-13,372.90000000000003
00-0036898,QB,2024,HOU,17,17,4,0.6862745098039215,318,16.04536614285302,31.20165935162961,49.722178583933974,66.39583873485657,33.595258737136575,24.916659288569072,9.600000000000001
00-0036928,QB,2024,TB,17,17,4,0.08823529411764705,318,-0.5252966708165816,-0.2,7.125411434931763,14.533215495732087,2.8549864936408635,8.74050018747755,-0.2
00-0036945,QB,2024,PIT,17,17,10,0.7843137254901961,318,167.64721651745023,182.28404300617999,198.85893050852957,216.29754237795578,184.32861792850983,23.803860687205287,119.1
00-0036971,QB,2024,JAX,17,17,10,0.9803921568627452,318,232.37314439224394,247.8067700309081,265.6565635344555,281.6612943551709,249.40898911524076,23.69706822964685,139.7
00-0036972,QB,2024,JAX,17,17,10,0.823529411764706,318,135.09404480374855,150.06540410013065,165.55490792589237,180.56525406223022,151.26237948367765,22.582141254212075,94.10000000000001
00-0037012,QB,2024,DAL,17,17,4,0.23529411764705882,318,18.661383155142914,29.095036076166036,41.214011900457734,54.44498180957452,31.411712929482018,16.565065551925027,12.700000000000001
00-0037077,QB,2024,SEA,17,17,2,0.5294117647058824,318,38.402554605117075,55.55935410311231,74.9137307828693,93.92039390009337,57.81810846906855,27.00280884795966,-0.8
00-0037324,QB,2024,KC,17,1,1,0.88,318,0.5,0.5,0.5,0.5,0.5,0.0,0.5
00-0037327,QB,2024,MIA,17,17,3,0.47058823529411764,318,30.519947647051698,43.864711964941336,59.83708203248885,75.12093193055674,46.08281859789235,22.15988552063203,7.9
00-0037834,QB,2024,SF,17,17,15,0.8529411764705883,318,286.4759591783197,294.97570396491153,303.2796089332442,311.966935245849,295.17259386555827,12.409379430909235,267.0
00-0038102,QB,2024,PHI,17,17,5,0.7352941176470589,318,66.24563537574409,82.65986068769064,101.43998329306697,120.75715366334194,84.96466859986889,27.220824192378213,25.1
00-0038108,QB,2024,CLE,17,17,1,0.4117647058823529,318,41.5194378431295,56.40521110356677,74.01091027623258,92.9805423975478,59.25144557612972,25.066535564302963,7.0
00-0038122,QB,2024,LV,17,17,5,0.5588235294117647,318,69.05450473193375,86.82212416926744,105.64292298218461,124.47016901416791,88.20183025262891,27.47208960897788,21.9
00-0038128,QB,2024,GB,17,17,7,0.3235294117647059,318,54.20873166063141,63.290070213690925,73.59967947878894,84.21254342037406,65.01518421764783,14.981883527013958,51.800000000000004
00-0038400,QB,2024,PHI,17,2,2,0.88,318,28.9,28.9,28.9,28.9,28.89999999999999,7.105427357601002e-15,28.9
00-0038416,QB,2024,CHI,17,17,4,0.29411764705882354,318,18.227845252429173,30.108731738080124,45.559873793374216,60.67501869063472,33.14653260399663,20.61634038672675,-0.29999999999999993
00-0038476,QB,2024,NYG,17,17,3,0.5294117647058824,318,48.05988158727013,64.31972782513265,81.98486590273225,98.64737903583384,66.17169356041573,25.577629347926376,13.5
00-0038579,QB,2024,LV,17,17,9,0.6470588235294118,318,120.14686673067015,132.93849170401234,147.63795128456456,161.56645080423996,135.13419803265757,20.97430465833749,93.7
00-0038582,QB,2024,ARI,17,17,6,0.4117647058823529,318,-3.3687784368869256,6.536964495724153,18.16250366091512,29.95841582727873,8.266101725028623,17.03108468043236,-2.0999999999999996
00-0038583,QB,2024,CLE,17,17,7,0.47058823529411764,318,17.325541071424468,28.19765975926053,39.73381509433085,53.944566116505726,29.572155670234437,17.586216283032368,15.8
00-0038998,QB,2024,NO,17,17,8,0.88,318,15.481704423877009,30.58031537432771,47.93600239948188,63.37769120525884,32.04954208247314,24.327804805079918,13.3
00-0039150,QB,2024,CAR,17,17,14,0.9411764705882353,318,212.95592512406816,220.73541389960315,230.5583778715403,240.25677997001264,222.23325168116395,13.529509939103361,194.8
00-0039152,QB,2024,TEN,17,17,12,0.5294117647058824,318,135.96779906567838,147.77961052893463,161.04836049067887,173.80751935708193,149.59477854181893,18.581746672928038,118.0
00-0039163,QB,2024,HOU,17,17,17,1.0,318,220.4,220.4,220.4,220.4,220.40000000000006,5.684341886080802e-14,220.4
00-0039164,QB,2024,IND,17,17,11,0.23529411764705882,318,165.1915151393631,175.35603977494966,186.17432251389522,198.5708936394241,177.7077789341533,14.786485843443048,161.5
00-0039376,QB,2024,NO,17,12,7,0.88,318,98.18979638880525,109.34508188566502,122.3590999997286,135.75236959079692,110.99998809006793,18.567071787817106,67.2
00-0039398,QB,2024,NE,17,1,1,0.88,318,19.2,19.2,19.2,19.2,19.199999999999992,7.105427357601002e-15,19.2
00-0039732,QB,2024,DEN,17,17,17,0.88,318,317.09999999999997,317.09999999999997,317.09999999999997,317.09999999999997,317.1,5.684341886080802e-14,317.1
00-0039851,QB,2024,NE,17,15,13,0.88,318,187.17539914188845,194.43712096030941,202.39989656545166,210.19018998525735,195.21545752349888,11.623890872907168,173.10000000000002
00-0039910,QB,2024,WAS,17,17,17,0.88,318,349.7,349.7,349.7,349.7,349.6999999999999,1.1368683772161603e-13,349.7
00-0039917,QB,2024,ATL,17,11,5,0.88,318,60.95848520054588,72.94692811869405,85.58227223981652,99.40626036425476,74.11836543998824,19.59165527747022,44.2
00-0039918,QB,2024,CHI,17,17,17,0.88,318,248.5,248.5,248.5,248.5,248.5,0.0,248.50000000000003
00-0022942,QB,2025,IND,17,17,3,1.0,398,209.32755007547178,233.86957054422783,261.45241902628436,277.4810749060753,234.8525670362441,35.52001002412241,31.800000000000004
00-0023459,QB,2025,PIT,17,17,16,0.8070820433436532,398,231.97946570211104,238.96164428760386,243.86365036590192,250.31371139442135,238.91015076684943,8.32042572232356,227.89999999999998
00-0026158,QB,2025,CLE,17,17,13,0.7177768166089966,398,147.58250471108323,159.6471916801676,174.0849980929547,188.5738611696317,161.6483849959922,19.7446504662216,150.59999999999997
00-0026300,QB,2025,WAS,17,17,5,0.2855392156862745,398,20.046969614330028,27.717072990789497,37.5936698022431,48.72172261003079,29.34383178084153,14.41954025392767,26.4
00-0026498,QB,2025,LA,17,17,17,0.8614430147058824,398,358.3999999999999,358.3999999999999,358.3999999999999,358.3999999999999,358.3999999999999,0.0,358.4
00-0027973,QB,2025,CAR,17,17,4,0.7696953781512607,398,60.021580718557914,77.96558802189611,99.12397329054916,118.39652867892784,80.05505271489145,28.47951688740693,13.799999999999999
00-0028118,QB,2025,NYJ,17,17,6,0.39023109243697485,398,79.16716426688926,92.32543781190662,107.37768800171625,121.99615498864345,94.61156108761314,20.875721562593586,61.6
00-0029263,QB,2025,NYG,17,17,6,0.9457013574660634,398,86.71140689229372,107.87337515236379,125.8407339510613,145.87343863982616,107.91323832568037,28.63387650772863,49.8
00-0029604,QB,2025,ATL,17,17,10,0.7813914027149321,398,154.6469339779156,169.9163490240337,186.15889815059836,202.20287235195136,171.5347910884014,23.62235152433389,106.6
00-0030565,QB,2025,LV,17,17,15,0.5143716577540107,398,174.90294255753776,184.37185568930255,192.99514384394377,201.8489957523389,186.28784398517902,11.142639556880733,174.5
00-0031237,QB,2025,TB,17,17,4,0.48897058823529405,398,5.275740673291091,17.9039663927311,31.621465505738342,45.77137760621988,19.46414997382284,20.42332016521323,3.1
00-0031345,QB,2025,LA,17,17,3,0.4538770053475936,398,16.987896098114014,30.939455448933224,46.015182185091064,61.37908738972764,32.731191247218,22.071727086825163,0.0
00-0031503,QB,2025,NYG,17,17,3,0.6500000000000001,398,110.70247149876276,130.6457552774056,151.92257997719327,172.12655583723358,132.5304023839069,30.49982863583745,45.4
00-0032268,QB,2025,WAS,17,17,11,0.5919117647058824,398,137.30751450438643,147.9627953714089,160.05682111605688,171.51397414778768,149.43419712281477,16.698061162485274,130.0
00-0032434,QB,2025,TEN,17,17,1,0.2183823529411765,398,4.491022387999717,14.020393305511227,25.908391143607695,36.901397755046744,15.963318698482723,15.590754217540658,0.9
00-0032950,QB,2025,MIN,17,17,5,0.6638071895424837,398,141.65943390256865,161.17555145044773,183.46823327818845,207.26063993042663,163.81570260972774,32.24242904901972,68.3
00-0033077,QB,2025,DAL,17,17,17,0.8451797385620915,398,313.0,313.0,313.0,313.0,313.0,0.0,312.99999999999994
00-0033106,QB,2025,DET,17,17,17,0.9113562091503269,398,307.90000000000003,307.90000000000003,307.90000000000003,307.90000000000003,307.9,5.684341886080802e-14,307.90000000000003
00-0033119,QB,2025,ARI,17,17,14,0.5890522875816994,398,230.67608144512266,235.2791988710735,243.54453706317744,251.31697765882714,237.36417227666013,10.82581128767975,233.49999999999997
00-0033319,QB,2025,JAX,17,17,5,0.2872899159663866,398,-0.798772001762406,7.393759544317831,17.376110030433956,27.287285818857864,8.735917746461334,14.408161756538059,0.7
00-0033357,QB,2025,NO,17,17,13,0.8655462184873951,398,67.38451044854045,78.1597288717507,90.30935185009099,101.3589015718774,79.45111783966148,16.66152926034403,43.800000000000004
00-0033662,QB,2025,BAL,17,17,4,0.32142857142857145,398,7.506343401794369,16.912085450494708,29.04658606113431,41.434174876854186,18.854840374197018,16.61431866568172,4.2
00-0033869,QB,2025,BUF,17,17,4,0.6153492647058824,398,35.39302549863247,49.027726915113966,65.74551377656954,83.80006401192047,51.35106974248665,23.646610356881194,29.900000000000002
00-0033873,QB,2025,KC,17,17,14,0.8823529411764706,398,320.33006562006386,331.83358313729883,342.66590029106396,353.3966516198734,331.67876126902013,16.582377653485654,282.40000000000003
00-0033949,QB,2025,NE,17,17,4,0.27426470588235297,398,16.464064024309813,28.278658432821487,42.77464574344895,57.49338083579487,30.709927772344205,19.301774523816697,2.8
00-0034577,QB,2025,DET,17,17,3,0.26838235294117646,398,-6.43973745717288,2.0447901399109796,12.817593185359062,23.722138666347984,3.528742708668023,15.625798738272252,0.0
00-0034771,QB,2025,PIT,17,17,5,0.3602941176470589,398,30.300880670491257,41.86666982444572,56.021630860275195,70.60957493254277,44.53147035251052,19.666898007454517,17.1
