player_id,name,position,season,week,predicted_points,actual_fantasy_points,is_starter
00-0033885,D.Njoku,TE,2025,10,1.263257472828001,10.1,True
00-0036754,B.Wright,TE,2025,10,1.133715016491753,0.0,True
00-0037838,I.Likely,TE,2025,10,0.853170030705205,3.7,True
00-0037340,Z.Mitchell-Paden,TE,2025,10,0.7815662506230854,2.4,True
00-0033858,J.Smith,TE,2025,10,0.5983921431140161,1.4,True
00-0040736,M.Taylor,TE,2025,10,0.5951006460569735,1.4,True
00-0036290,C.Kmet,TE,2025,10,0.5928790247992356,1.5,True
00-0035689,D.Knox,TE,2025,10,0.5088095372887672,6.7,True
00-0034981,F.Moreau,TE,2025,10,0.4174373161452144,3.6,True
00-0038558,D.Washington,TE,2025,10,0.36090573240913887,2.5,True
00-0037252,G.Dulcich,TE,2025,10,0.27426671139570236,3.2,True
00-0036244,C.Parkinson,TE,2025,10,0.20684329174161672,14.1,True
00-0039066,M.Mayer,TE,2025,10,0.20257574477933835,5.2,True
00-0040737,T.Ferguson,TE,2025,10,0.1919985894802231,4.2,True
00-0040739,E.Arroyo,TE,2025,10,0.14094516851352712,1.5,True
00-0039356,J.Sanders,TE,2025,10,0.12755999253729586,8.2,True
00-0039050,P.Durham,TE,2025,10,0.09962266717014558,0.0,True
00-0038115,D.Bellinger,TE,2025,10,0.09426542474376857,1.8,True
00-0040194,J.Hawes,TE,2025,10,0.09128325201410914,9.6,True
00-0036628,J.Bates,TE,2025,10,0.0,1.6,True
00-0039041,E.Higgins,TE,2025,10,0.0,3.9,True
00-0036429,C.Woerner,TE,2025,10,0.0,2.4,True
00-0034073,R.Dwelley,TE,2025,10,0.0,0.0,True
00-0039144,L.Musgrave,TE,2025,10,0.0,5.3,True
00-0039074,D.Allen,TE,2025,10,0.0,8.8,True
00-0034270,T.Conklin,TE,2025,10,0.0,2.2,True
00-0033217,M.Alie-Cox,TE,2025,10,0.0,0.0,True
00-0033246,J.Mundt,TE,2025,10,0.0,3.1,True
00-0036422,A.Trautman,TE,2025,10,0.0,1.2,True
00-0032392,A.Hooper,TE,2025,10,0.0,0.0,True
00-0039912,B.Sinnott,TE,2025,10,0.0,7.4,True
00-0037654,T.Fisk,TE,2025,10,0.0,1.7,True
00-0037805,J.Ruckert,TE,2025,10,0.0,1.0,True
00-0038046,C.Kolar,TE,2025,10,0.0,3.3,True
00-0036887,L.Farrell,TE,2025,10,0.0,9.5,True
00-0040187,M.Evans,TE,2025,10,0.0,0.0,True
00-0037086,G.Calcaterra,TE,2025,10,0.0,0.0,True
00-0039040,D.Achane,RB,2025,11,23.50341245754528,21.5,True
00-0038542,B.Robinson,RB,2025,11,23.371132378895627,30.3,True
00-0037248,J.Cook,RB,2025,11,22.81459264859796,20.4,True
00-0039139,J.Gibbs,RB,2025,11,22.51459268537854,19.6,True
