position,season,window,actual_years,n_train_rows,weighting,model,mae,rmse,medae,r2,spearman,bias,n
RB,2024,3y,3,4610,exponential,C_gbm_mae,4.455161998627816,6.334568896511001,2.9581428757214447,0.3863154922149492,0.6848563634039594,-1.1415055958840217,1500
RB,2024,5y,5,7563,,existing_methodology,4.679857726635754,6.242248309900457,3.628158454032421,0.4040729314010102,0.6750493543888886,0.0545639011244182,1500
RB,2024,5y,5,7563,none,B_gbm_huber,4.658457776275756,6.535674857971374,3.31141188263289,0.3467312123190325,0.6859793989138208,-1.2035125802137507,1500
RB,2024,5y,5,7563,none,C_gbm_mae,4.407044381461255,6.233619689825671,2.9722410625681284,0.4057192851234703,0.6885552134515026,-0.8795813627853639,1500
RB,2024,5y,5,7563,linear,B_gbm_huber,4.651496532785066,6.599247869757174,3.16196186653947,0.3339606111852851,0.6780952099323417,-1.3940022093008724,1500
RB,2024,5y,5,7563,linear,C_gbm_mae,4.385495099791481,6.240971277045842,2.955207738433153,0.4043167347755589,0.6913402238053878,-0.9797749010516744,1500
RB,2024,5y,5,7563,exponential,B_gbm_huber,4.629442094685046,6.57915296987788,3.1206427664468626,0.3380106537879331,0.6783384174766945,-1.414417474890978,1500
RB,2024,5y,5,7563,exponential,C_gbm_mae,4.40647341855906,6.294611102241175,2.969144988985013,0.3940331886365882,0.687470749905704,-1.1912464747471532,1500
RB,2024,7y,7,10349,,existing_methodology,4.682048944842611,6.244192195833512,3.6062927670989167,0.4037017207224287,0.6748819639115476,0.073011279405988,1500
RB,2024,7y,7,10349,none,B_gbm_huber,4.69329026189485,6.540782350094236,3.4138654320768502,0.3457097817896973,0.6824839842777741,-1.0723657141661882,1500
RB,2024,7y,7,10349,none,C_gbm_mae,4.371953649519944,6.286978645815074,2.861726403559137,0.3955018135299964,0.6914668634909166,-1.158618044645341,1500
RB,2024,7y,7,10349,linear,B_gbm_huber,4.618087746436697,6.520858528429399,3.266324384208919,0.3496897666177777,0.6892041595269189,-1.2594620894501007,1500
RB,2024,7y,7,10349,linear,C_gbm_mae,4.365488649589212,6.28381151025526,2.7798388289649667,0.3961107055201587,0.6930617605893059,-1.306805187455202,1500
RB,2024,7y,7,10349,exponential,B_gbm_huber,4.62527945247516,6.57976585093738,3.1415638785421054,0.3378873127951941,0.6851525970362332,-1.467587557736783,1500
RB,2024,7y,7,10349,exponential,C_gbm_mae,4.395264273726411,6.313643522508204,2.8851692815369123,0.3903632396985161,0.689868520922606,-1.3021068286931814,1500
RB,2025,3y,3,4581,,existing_methodology,4.510355457181993,6.527981409742906,3.131245800856324,0.3707563743902052,0.666038100176504,-1.0732168045333548,1552
RB,2025,3y,3,4581,none,B_gbm_huber,4.797823107156697,7.130750336011341,3.011551727669095,0.2491875440839389,0.6189473990270027,-2.373547224027371,1552
RB,2025,3y,3,4581,none,C_gbm_mae,4.759873032699795,7.184253218359258,2.987927127004148,0.2378784023683656,0.6326902518806417,-2.722613046764613,1552
RB,2025,3y,3,4581,linear,B_gbm_huber,4.778226773627994,7.202498967025624,2.854575679703734,0.2340023872900979,0.6204317096539592,-2.561911452123282,1552
RB,2025,3y,3,4581,linear,C_gbm_mae,5.003257689420716,7.604857878036258,2.904225257488249,0.1460288259324696,0.5998426431438543,-3.350118466871538,1552
RB,2025,3y,3,4581,exponential,B_gbm_huber,4.767498583924463,7.184180856683759,2.8428583746529847,0.2378937548667611,0.6194120841041076,-2.5340231900012924,1552
RB,2025,3y,3,4581,exponential,C_gbm_mae,4.886549681329579,7.393755934581448,2.926177175537171,0.1927812745190347,0.6109988004174851,-3.118365670333109,1552
RB,2025,5y,5,7629,,existing_methodology,4.509250896778155,6.587308032579538,3.028237649653762,0.3592672081568701,0.6649569003322794,-1.3349477790654198,1552
RB,2025,5y,5,7629,none,B_gbm_huber,4.786375994961458,7.195368410347205,2.94289140416031,0.2355183293823766,0.63379327141952,-2.5402672749376576,1552
RB,2025,5y,5,7629,none,C_gbm_mae,4.969221684926476,7.654455808387738,2.885245027479651,0.1348535163715731,0.6262360474202331,-3.510154801020897,1552
RB,2025,5y,5,7629,linear,B_gbm_huber,4.7879662373482965,7.216621752589898,2.8574904156908056,0.2309954792272786,0.6214954846901983,-2.5650795524844945,1552
RB,2025,5y,5,7629,linear,C_gbm_mae,4.986782610359033,7.62978841440268,2.849184235447618,0.1404206064145914,0.6120478021997058,-3.530878429304441,1552
RB,2025,5y,5,7629,exponential,B_gbm_huber,4.814412273133854,7.296222972207668,2.846694673657192,0.2139372762678127,0.6141677202934772,-2.679457030725054,1552
RB,2025,5y,5,7629,exponential,C_gbm_mae,5.030142662367361,7.68178352717328,2.922961108678342,0.1286650467382604,0.6025085046058108,-3.5195443791016614,1552
RB,2025,7y,7,10493,,existing_methodology,4.512193313709177,6.53387481477236,3.1427769257467624,0.3696197101550867,0.6678983082233487,-1.137540051725601,1552
RB,2025,7y,7,10493,none,B_gbm_huber,4.854516380106587,7.318891251122539,3.0245128326707604,0.209045328984498,0.6234424536711607,-2.5907061593681773,1552
RB,2025,7y,7,10493,none,C_gbm_mae,5.1019065260804295,7.859008393924652,2.836704820454861,0.0879964852576302,0.6097658160577961,-3.7420013949244857,1552
RB,2025,7y,7,10493,linear,B_gbm_huber,4.80177925525088,7.26449450021193,2.935566616174368,0.2207589813425078,0.6261556201747139,-2.6471878407316187,1552
RB,2025,7y,7,10493,linear,C_gbm_mae,5.115521192533574,7.8536264349042035,2.9197020657807453,0.0892451631157444,0.6182033282251006,-3.845446878273175,1552
RB,2025,7y,7,10493,exponential,B_gbm_huber,4.8237580521152905,7.288105127938765,2.8611990988383607,0.2156854643225763,0.6204348674793306,-2.708476184334295,1552
RB,2025,7y,7,10493,exponential,C_gbm_mae,5.187638364113046,7.88868508684657,2.949259755118413,0.0810957802487689,0.6063955789156968,-4.001670190467925,1552
RB,2023,10y,10,14246,,existing_methodology,4.55419617469451,6.06945774914084,3.5343433842811613,0.3973800812551367,0.6874734828072124,0.524994220691162,1515
RB,2023,10y,10,14246,none,B_gbm_huber,4.555013501258316,6.346351654698154,3.30627187742296,0.3411417880632189,0.685858685932458,-0.7305946795483171,1515
RB,2023,10y,10,14246,none,C_gbm_mae,4.164353672316736,6.015853476673732,2.806898907376332,0.4079775206723902,0.7042826247761095,-0.834220601861285,1515
RB,2023,10y,10,14246,linear,B_gbm_huber,4.5124838193240375,6.318953341404745,3.3126215629169526,0.3468183212012611,0.6889094899891579,-0.7354698523328584,1515
RB,2023,10y,10,14246,linear,C_gbm_mae,4.146401513333294,6.01379376727337,2.7969878663250096,0.4083828448786292,0.7052922711775266,-0.9148392201380126,1515
RB,2023,10y,10,14246,exponential,B_gbm_huber,4.469398826546059,6.286610857991302,3.221773647227295,0.3534876073305292,0.6899799475626268,-0.7246959086234385,1515
RB,2023,10y,10,14246,exponential,C_gbm_mae,4.222298555960889,6.059690755863519,2.8592053867294984,0.399317997037819,0.7004280903166497,-0.8307457980517537,1515
QB,2025,all,19,12310,,existing_methodology,6.533016128936122,8.16297183500242,5.37526630938085,0.2358639963504903,0.4850185464740002,-0.2459909160701163,708
QB,2025,all,19,12310,none,B_gbm_huber,6.791367553094944,8.159028604958872,6.231224574594136,0.2366020697712337,0.5209887997813469,-0.2590382226638943,708
QB,2025,all,19,12310,none,F_yeojohnson_huber,6.458768571922111,8.26970554172273,5.372454633155003,0.2157506659574439,0.4989374812638528,-1.6818777880347282,708
