position,season,window,actual_years,n_train_rows,weighting,model,mae,rmse,medae,r2,spearman,bias,n
RB,2025,3y,3,4244,exponential,B_gbm_huber,4.8975053514272275,7.139714153174235,3.1607990226895466,0.2450310571182276,0.6028272492179344,-1.972445047902868,1447
RB,2025,3y,3,4244,exponential,F_yeojohnson_huber,4.893354884279526,7.376953083496627,2.8692466707554747,0.19402516875214004,0.6123425689280201,-3.0156568232693926,1447
RB,2025,5y,5,7053,n/a,existing_methodology,4.686157643829196,6.784854272370016,3.1683208448756073,0.31821336194150796,0.6349482552727616,-1.5720906289186083,1447
RB,2025,5y,5,7053,none,B_gbm_huber,4.907189310524097,7.143025414274951,3.2776381859838812,0.24433061479193885,0.6221206579892457,-1.884756925596506,1447
RB,2025,5y,5,7053,none,F_yeojohnson_huber,4.8565056039695795,7.276521526548026,2.832903050882895,0.215821241500342,0.6153395724287013,-2.6701675957391338,1447
RB,2025,5y,5,7053,linear,B_gbm_huber,4.864062177973935,7.0850179811103375,3.1879252277145103,0.25655413420511297,0.6129771292287817,-1.8967656056291378,1447
RB,2025,5y,5,7053,linear,F_yeojohnson_huber,5.028319605492132,7.587135752525394,2.9229026730001024,0.14744354559727146,0.6062297048730388,-3.287732795407788,1447
RB,2025,5y,5,7053,exponential,B_gbm_huber,4.851484728170701,7.08782552806052,3.160386007171919,0.2559648138299435,0.6151211740470474,-1.9301645874044604,1447
RB,2025,5y,5,7053,exponential,F_yeojohnson_huber,4.92409449140033,7.403423476896652,2.8411833640794475,0.18823070391570473,0.6163638154042196,-2.987495939121779,1447
RB,2025,7y,7,9689,n/a,existing_methodology,4.685606157434429,6.703533814533054,3.213079691225495,0.3344586458333578,0.6385897259743814,-1.266834073495404,1447
RB,2025,7y,7,9689,none,B_gbm_huber,4.929885218404041,7.135937963918382,3.3126173040015336,0.24582945089943153,0.620677619669972,-1.7962520476833723,1447
RB,2025,7y,7,9689,none,F_yeojohnson_huber,4.872658750594532,7.301568635267233,2.990051739819039,0.21041337863645937,0.6171495481425426,-2.807892657322412,1447
RB,2025,7y,7,9689,linear,B_gbm_huber,4.860933075623242,7.094004763378031,3.199810721555842,0.254666934082724,0.6200768730288672,-1.9348071430015306,1447
RB,2025,7y,7,9689,linear,F_yeojohnson_huber,4.8880414349800665,7.301686652584468,2.9011597070683703,0.21038785380679048,0.6160621376020047,-2.8600937419921566,1447
RB,2025,7y,7,9689,exponential,B_gbm_huber,4.878106003777731,7.145001777370605,3.124879424406167,0.2439123932094429,0.612903147144134,-2.07860186382439,1447
RB,2025,7y,7,9689,exponential,F_yeojohnson_huber,4.922909423549095,7.399204290949378,2.8506083891055365,0.1891556894085944,0.6128005714024455,-2.9732626004349068,1447
RB,2023,10y,10,13662,n/a,existing_methodology,4.763867953446625,6.249171728838925,3.8178862403059064,0.35511388393324994,0.6395600868432744,0.5276572963613899,1401
RB,2023,10y,10,13662,none,B_gbm_huber,4.77506951090027,6.514106393305637,3.635289211702119,0.29927469171870846,0.6370728898455619,-0.7077337490996658,1401
RB,2023,10y,10,13662,none,F_yeojohnson_huber,4.495184015203653,6.339336776374001,3.1528401782969624,0.3363703877577855,0.6429256794337472,-1.0192897170087056,1401
