position,season,window,actual_years,n_train_rows,receiving_floor,weighting,model,mae,rmse,medae,r2,spearman,bias,n
TE,2024,5y,5,7912,True,linear,B_gbm_huber,2.8599229334771676,4.557424242788699,1.4649278942441888,0.3406575688944542,0.6571527366987868,-1.1482888785553618,1684
TE,2024,5y,5,7912,True,linear,C_gbm_mae,2.764345230155448,4.38269305990316,1.5024477817049369,0.3902466136966315,0.6531954883078293,-0.9485273848772083,1684
TE,2024,5y,5,7912,True,exponential,B_gbm_huber,2.857551949330162,4.540051523524954,1.4960387444966952,0.3456747620112802,0.6575226151268598,-1.129165680664227,1684
TE,2024,5y,5,7912,True,exponential,C_gbm_mae,2.7981969600827394,4.42630665256638,1.526995422384635,0.3780505251832651,0.6511029666989758,-0.9874499408424572,1684
TE,2024,7y,7,10978,True,n/a,existing_methodology,2.940030758717711,4.260995203482882,1.9979439820561902,0.42363951338995953,0.6644467574316518,0.06626866741017721,1684
TE,2024,7y,7,10978,True,none,B_gbm_huber,2.847128154045422,4.541411385206059,1.4901031406287109,0.3452827289820398,0.6611782645351214,-1.1417367391109756,1684
TE,2024,7y,7,10978,True,none,C_gbm_mae,2.7399265028707935,4.357319332696852,1.503146450371392,0.3972865450375894,0.6584923745951571,-0.885146792925507,1684
TE,2024,7y,7,10978,True,linear,B_gbm_huber,2.8445028791116824,4.533047750077413,1.487110510970565,0.34769201264644434,0.6634756718751735,-1.1259206132852833,1684
TE,2024,7y,7,10978,True,linear,C_gbm_mae,2.7594380349244045,4.386663571811288,1.5004318377460426,0.38914129798377306,0.6575638057147809,-0.9444032613242358,1684
TE,2024,7y,7,10978,True,exponential,B_gbm_huber,2.8551123427316925,4.554985861752362,1.4510483957787903,0.3413629225764969,0.6602896589036089,-1.1473491247061356,1684
TE,2024,7y,7,10978,True,exponential,C_gbm_mae,2.8170568231620083,4.430551111168765,1.5811364118871094,0.3768571580270921,0.6391616007058918,-0.9872589271070986,1684
TE,2024,10y,10,15297,True,n/a,existing_methodology,2.9432883109333625,4.268605552410978,2.0119635642655336,0.421578857941872,0.6648562714210581,0.061858425766064075,1684
TE,2024,10y,10,15297,True,none,B_gbm_huber,2.853781272242609,4.562028508606133,1.4974959608284601,0.33932465751703556,0.6614329022317031,-1.1537724501054614,1684
TE,2024,10y,10,15297,True,none,C_gbm_mae,2.7533074355616414,4.372967415265263,1.4814031224196804,0.39294982140971024,0.6519325825808097,-0.9250053713886216,1684
TE,2024,10y,10,15297,True,linear,B_gbm_huber,2.8406023544009336,4.53341049290491,1.5051978043454928,0.3475876106969553,0.6634841909181469,-1.137250423119747,1684
TE,2024,10y,10,15297,True,linear,C_gbm_mae,2.756735086219775,4.377225138536309,1.4877496782516983,0.39176714168919036,0.6553729688532255,-0.9698752963569686,1684
