position,season,window,actual_years,n_train_rows,receiving_floor,weighting,model,mae,rmse,medae,r2,spearman,bias,n
RB,2023,10y,10,14729,True,n/a,existing_methodology,4.59302287270676,6.091160110258082,3.6116047433907776,0.3930628399415542,0.6833258573375425,0.5795586185810612,1515
RB,2023,10y,10,14729,True,none,B_gbm_huber,4.544002390749866,6.333544529870418,3.2976703611343687,0.34379829551070396,0.6846212573036748,-0.735362290597979,1515
RB,2023,10y,10,14729,True,none,C_gbm_mae,4.171430790010014,6.018008856454832,2.853223172467503,0.40755322115194803,0.7008979959692506,-0.8363173648998262,1515
RB,2023,10y,10,14729,True,linear,B_gbm_huber,4.5389960270540834,6.314977493413124,3.3515211558242513,0.3476400186984383,0.6843838670322235,-0.7317063504421808,1515
RB,2023,10y,10,14729,True,linear,C_gbm_mae,4.19407898765397,6.032496194141235,2.817288274987785,0.404697357100237,0.697230295877122,-0.9225921163370606,1515
RB,2023,10y,10,14729,True,exponential,B_gbm_huber,4.49901636096771,6.307178691044801,3.194294693374559,0.34925031265168094,0.684974977578876,-0.7955693408015511,1515
RB,2023,10y,10,14729,True,exponential,C_gbm_mae,4.204991797929695,6.022303331471838,2.7900332523139237,0.406707374712012,0.695938167103387,-0.8945132352567229,1515
RB,2023,since2013,10,14729,True,n/a,existing_methodology,4.59302287270676,6.091160110258082,3.6116047433907776,0.3930628399415542,0.6833258573375425,0.5795586185810612,1515
RB,2023,since2013,10,14729,True,none,B_gbm_huber,4.544002390749866,6.333544529870418,3.2976703611343687,0.34379829551070396,0.6846212573036748,-0.735362290597979,1515
RB,2023,since2013,10,14729,True,none,C_gbm_mae,4.171430790010014,6.018008856454832,2.853223172467503,0.40755322115194803,0.7008979959692506,-0.8363173648998262,1515
RB,2023,since2013,10,14729,True,linear,B_gbm_huber,4.5389960270540834,6.314977493413124,3.3515211558242513,0.3476400186984383,0.6843838670322235,-0.7317063504421808,1515
RB,2023,since2013,10,14729,True,linear,C_gbm_mae,4.19407898765397,6.032496194141235,2.817288274987785,0.404697357100237,0.697230295877122,-0.9225921163370606,1515
RB,2023,since2013,10,14729,True,exponential,B_gbm_huber,4.49901636096771,6.307178691044801,3.194294693374559,0.34925031265168094,0.684974977578876,-0.7955693408015511,1515
RB,2023,since2013,10,14729,True,exponential,C_gbm_mae,4.204991797929695,6.022303331471838,2.7900332523139237,0.406707374712012,0.695938167103387,-0.8945132352567229,1515
RB,2023,all,17,20048,True,n/a,existing_methodology,4.593892751651357,6.091905222035152,3.6271628830433333,0.39291434156751903,0.6833972388200378,0.5873264481367688,1515
RB,2023,all,17,20048,True,none,B_gbm_huber,4.565278628355051,6.36930470665916,3.2242945264632055,0.3363673427862931,0.6799492235071645,-0.814590642715484,1515
RB,2023,all,17,20048,True,none,C_gbm_mae,4.168663602177607,6.0138332473484635,2.8508301602369954,0.4083750770145209,0.700616100051988,-0.9462591843125409,1515
RB,2023,all,17,20048,True,linear,B_gbm_huber,4.544871458324732,6.352487185000894,3.338257776237084,0.3398672294433136,0.6806301389517156,-0.8070617410312761,1515
RB,2023,all,17,20048,True,linear,C_gbm_mae,4.1677678401739175,6.024655406561929,2.7741020731285557,0.4062438506296475,0.7011181820879675,-0.9928526299607084,1515
