player_id,week,receiving_yards,receptions,targets,receiving_tds,player_name,team,position,season,fantasy_points
00-0033288,11,67.0,6.0,6.0,2,George Kittle,SF,TE,2025,24.700000762939453
00-0033288,12,78.0,6.0,10.0,0,George Kittle,SF,TE,2025,13.800000190734863
00-0033288,13,67.0,4.0,5.0,0,George Kittle,SF,TE,2025,10.700000762939453
00-0033288,15,88.0,8.0,9.0,1,George Kittle,SF,TE,2025,22.799999237060547
00-0033288,16,115.0,7.0,8.0,1,George Kittle,SF,TE,2025,24.5
00-0033288,18,29.0,5.0,7.0,0,George Kittle,SF,TE,2025,7.900000095367432
00-0033288,19,6.0,1.0,2.0,0,George Kittle,SF,TE,2025,1.600000023841858
00-0033439,15,1.0,2.0,2.0,0,Pharaoh Brown,ARI,TE,2025,2.0999999046325684
00-0033455,13,4.0,1.0,1.0,0,Anthony Firkser,DET,TE,2025,1.399999976158142
00-0033455,14,7.0,1.0,1.0,0,Anthony Firkser,DET,TE,2025,1.7000000476837158
00-0033455,16,40.0,4.0,4.0,0,Anthony Firkser,DET,TE,2025,8.0
00-0033455,17,0.0,0.0,1.0,0,Anthony Firkser,DET,TE,2025,0.0
00-0033455,18,2.0,2.0,3.0,0,Anthony Firkser,DET,TE,2025,2.200000047683716
00-0033576,3,12.0,1.0,1.0,0,Eric Saubert,SEA,TE,2025,2.200000047683716
00-0033576,15,9.0,1.0,1.0,0,Eric Saubert,SEA,TE,2025,1.9000000953674316
00-0033576,16,0.0,0.0,1.0,0,Eric Saubert,SEA,TE,2025,0.0
00-0033576,17,0.0,0.0,2.0,0,Eric Saubert,SEA,TE,2025,0.0
00-0033576,18,10.0,2.0,3.0,0,Eric Saubert,SEA,TE,2025,3.0
00-0033757,11,1.0,1.0,1.0,0,Robert Tonyan,KC,TE,2025,1.100000023841858
00-0033858,1,15.0,5.0,6.0,1,Jonnu Smith,PIT,TE,2025,12.5
00-0033858,2,27.0,4.0,4.0,0,Jonnu Smith,PIT,TE,2025,6.699999809265137
00-0033858,3,23.0,3.0,3.0,0,Jonnu Smith,PIT,TE,2025,5.300000190734863
00-0033858,4,6.0,2.0,3.0,0,Jonnu Smith,PIT,TE,2025,2.5999999046325684
00-0033858,6,18.0,3.0,4.0,0,Jonnu Smith,PIT,TE,2025,4.800000190734863
00-0033858,7,28.0,3.0,6.0,1,Jonnu Smith,PIT,TE,2025,11.800000190734863
00-0033858,8,17.0,2.0,4.0,0,Jonnu Smith,PIT,TE,2025,3.700000047683716
00-0033858,9,25.0,3.0,5.0,0,Jonnu Smith,PIT,TE,2025,5.5
00-0033858,10,4.0,1.0,2.0,0,Jonnu Smith,PIT,TE,2025,1.399999976158142
00-0033858,11,0.0,0.0,2.0,0,Jonnu Smith,PIT,TE,2025,0.0
00-0033858,12,21.0,3.0,3.0,0,Jonnu Smith,PIT,TE,2025,5.100000381469727
00-0033858,13,6.0,1.0,2.0,0,Jonnu Smith,PIT,TE,2025,1.600000023841858
00-0033858,14,0.0,0.0,1.0,0,Jonnu Smith,PIT,TE,2025,0.0
00-0033858,15,12.0,2.0,2.0,0,Jonnu Smith,PIT,TE,2025,3.200000047683716
00-0033858,16,0.0,0.0,1.0,0,Jonnu Smith,PIT,TE,2025,0.0
00-0033858,17,18.0,5.0,5.0,0,Jonnu Smith,PIT,TE,2025,6.800000190734863
00-0033858,18,2.0,1.0,2.0,0,Jonnu Smith,PIT,TE,2025,1.2000000476837158
00-0033858,19,-1.0,2.0,3.0,0,Jonnu Smith,PIT,TE,2025,1.899999976158142
00-0033881,1,21.0,3.0,4.0,0,Evan Engram,DEN,TE,2025,5.100000381469727
00-0033881,2,12.0,1.0,2.0,0,Evan Engram,DEN,TE,2025,2.200000047683716
00-0033881,4,29.0,4.0,7.0,0,Evan Engram,DEN,TE,2025,6.900000095367432
00-0033881,5,33.0,4.0,6.0,1,Evan Engram,DEN,TE,2025,13.300000190734863
00-0033881,6,42.0,5.0,6.0,0,Evan Engram,DEN,TE,2025,9.200000762939453
00-0033881,7,42.0,5.0,8.0,0,Evan Engram,DEN,TE,2025,9.200000762939453
00-0033881,8,36.0,4.0,5.0,0,Evan Engram,DEN,TE,2025,7.600000381469727
00-0033881,9,0.0,0.0,3.0,0,Evan Engram,DEN,TE,2025,0.0
00-0033881,10,12.0,2.0,5.0,0,Evan Engram,DEN,TE,2025,3.200000047683716
00-0033881,11,33.0,4.0,5.0,0,Evan Engram,DEN,TE,2025,7.300000190734863
00-0033881,13,79.0,6.0,9.0,0,Evan Engram,DEN,TE,2025,13.899999618530273
00-0033881,14,8.0,2.0,2.0,0,Evan Engram,DEN,TE,2025,2.799999952316284
00-0033881,15,12.0,1.0,3.0,0,Evan Engram,DEN,TE,2025,2.200000047683716
00-0033881,16,36.0,2.0,4.0,0,Evan Engram,DEN,TE,2025,5.600000381469727
00-0033881,17,21.0,4.0,4.0,0,Evan Engram,DEN,TE,2025,6.100000381469727
00-0033881,18,45.0,3.0,4.0,0,Evan Engram,DEN,TE,2025,7.5
00-0033881,20,7.0,1.0,3.0,0,Evan Engram,DEN,TE,2025,1.7000000476837158
00-0033881,21,19.0,2.0,3.0,0,Evan Engram,DEN,TE,2025,3.9000000953674316
00-0033885,1,37.0,3.0,6.0,0,David Njoku,CLE,TE,2025,6.699999809265137
00-0033885,2,40.0,4.0,5.0,0,David Njoku,CLE,TE,2025,8.0
00-0033885,3,40.0,5.0,7.0,0,David Njoku,CLE,TE,2025,9.0
00-0033885,4,11.0,2.0,3.0,0,David Njoku,CLE,TE,2025,3.0999999046325684
00-0033885,5,67.0,6.0,9.0,1,David Njoku,CLE,TE,2025,18.700000762939453
00-0033885,6,28.0,3.0,6.0,0,David Njoku,CLE,TE,2025,5.800000190734863
00-0033885,8,37.0,4.0,5.0,1,David Njoku,CLE,TE,2025,13.699999809265137
00-0033885,10,21.0,2.0,2.0,1,David Njoku,CLE,TE,2025,10.100000381469727
00-0033885,11,7.0,1.0,2.0,0,David Njoku,CLE,TE,2025,1.7000000476837158
00-0033885,13,4.0,2.0,2.0,0,David Njoku,CLE,TE,2025,2.4000000953674316
00-0033885,14,1.0,1.0,1.0,1,David Njoku,CLE,TE,2025,7.100000023841858
00-0034073,10,0.0,0.0,1.0,0,Ross Dwelley,CAR,TE,2025,0.0
00-0034073,13,3.0,1.0,3.0,0,Ross Dwelley,CAR,TE,2025,1.2999999523162842
00-0034073,14,4.0,1.0,1.0,0,Ross Dwelley,CAR,TE,2025,1.399999976158142
00-0034159,1,18.0,1.0,1.0,0,Will Dissly,LAC,TE,2025,2.8000001907348633
00-0034159,2,7.0,1.0,1.0,0,Will Dissly,LAC,TE,2025,1.7000000476837158
00-0034159,6,18.0,2.0,2.0,0,Will Dissly,LAC,TE,2025,3.8000001907348633
00-0034159,7,0.0,0.0,1.0,0,Will Dissly,LAC,TE,2025,0.0
00-0034159,14,1.0,1.0,1.0,0,Will Dissly,LAC,TE,2025,1.100000023841858
00-0034159,16,28.0,3.0,3.0,0,Will Dissly,LAC,TE,2025,5.800000190734863
00-0034159,17,19.0,2.0,2.0,0,Will Dissly,LAC,TE,2025,3.9000000953674316
00-0034159,18,6.0,1.0,5.0,0,Will Dissly,LAC,TE,2025,1.600000023841858
