player,position,season,week,actual_ppr,prediction,model,fold,training_window,weighting_strategy,p25,p50,p75,p90
00-0033357,QB,2023,12,8.1,4.3,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,13,15.4,8.1,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,15,1.5,15.4,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,16,0.2,1.5,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,17,11.5,0.2,baseline_recent_game,2023,all,none,,,,
00-0033357,QB,2023,18,11.9,11.5,baseline_recent_game,2023,all,none,,,,
00-0033537,QB,2023,1,20.7,17.6,baseline_recent_game,2023,all,none,,,,
00-0033537,QB,2023,2,11.6,20.7,baseline_recent_game,2023,all,none,,,,
00-0033537,QB,2023,3,21.2,11.6,baseline_recent_game,2023,all,none,,,,
00-0033537,QB,2023,7,-1.8,21.2,baseline_recent_game,2023,all,none,,,,
00-0033537,QB,2023,9,19.0,-1.8,baseline_recent_game,2023,all,none,,,,
00-0033537,QB,2023,10,16.2,19.0,baseline_recent_game,2023,all,none,,,,
00-0033662,QB,2023,1,0.0,0.0,baseline_recent_game,2023,all,none,,,,
00-0033662,QB,2023,4,0.6,0.0,baseline_recent_game,2023,all,none,,,,
00-0033662,QB,2023,5,0.1,0.6,baseline_recent_game,2023,all,none,,,,
00-0033662,QB,2023,8,-0.2,0.1,baseline_recent_game,2023,all,none,,,,
00-0033662,QB,2023,10,1.2,-0.2,baseline_recent_game,2023,all,none,,,,
00-0033662,QB,2023,11,0.3,1.2,baseline_recent_game,2023,all,none,,,,
00-0033662,QB,2023,18,1.2,0.3,baseline_recent_game,2023,all,none,,,,
00-0033869,QB,2023,4,0.7,14.1,baseline_recent_game,2023,all,none,,,,
00-0033869,QB,2023,8,7.3,0.7,baseline_recent_game,2023,all,none,,,,
00-0033869,QB,2023,13,7.2,7.3,baseline_recent_game,2023,all,none,,,,
00-0033869,QB,2023,14,20.6,7.2,baseline_recent_game,2023,all,none,,,,
00-0033869,QB,2023,15,12.9,20.6,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,1,19.5,23.7,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,2,21.2,19.5,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,3,25.7,21.2,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,4,13.2,25.7,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,5,19.2,13.2,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,6,17.3,19.2,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,7,33.9,17.3,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,8,5.6,33.9,baseline_recent_game,2023,all,none,,,,
00-0033873,QB,2023,9,15.8,5.6,baseline_recent_game,2023,all,none,,,,
