player_id,season,week,team,position,predicted_share_rushing_yards,predicted_team_rushing_yards,predicted_rushing_yards,predicted_share_receiving_yards,predicted_team_receiving_yards,predicted_receiving_yards,predicted_share_receptions,predicted_team_receptions,predicted_receptions,predicted_share_receiving_tds,predicted_team_receiving_tds,predicted_receiving_tds,predicted_share_rushing_tds,predicted_team_rushing_tds,predicted_rushing_tds,predicted_share_passing_yards,predicted_team_passing_yards,predicted_passing_yards,predicted_share_passing_tds,predicted_team_passing_tds,predicted_passing_tds,predicted_share_interceptions,predicted_team_interceptions,predicted_interceptions,predicted_ppr,rushing_yards,receiving_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,actual_ppr,model_version,artifact_schema_version
00-0026158,2025,15,CIN,QB,0.008333333333333333,128.20062963877461,1.0683385803231218,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.6347938466182689,0.0,0.3096446700507614,262.3132018032887,81.22388482233812,0.3333333333333333,1.8019658327102661,0.6006552775700886,0.3333333333333333,1.16303615732288,0.38767871910762663,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,16,CIN,QB,0.0,102.3874500110849,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.6553417735988094,0.0,0.0,235.86052003450314,0.0,0.0,1.722765564918518,0.0,0.0,0.562598204306947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.16,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,17,CIN,QB,0.0,119.90991641865887,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.2209474399261184,0.0,0.004259850905218317,269.2295894864505,1.1468779104854119,0.0,1.480270504951477,0.0,0.0,0.44420021515436625,0.0,0.05,5.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.46,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026158,2025,18,CIN,QB,0.013440860215053765,111.31784142609872,1.4962075460497142,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.1438344732918856,0.0,0.028575960327710717,253.464293072128,7.242985583320372,0.0,1.896034598350525,0.0,0.0,1.0155351609681185,0.0,0.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026300,2025,1,WAS,QB,0.0011748301074529432,135.68362871037596,0.15940521209741623,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.718487839431474,0.0,0.00548976167592487,224.03461779205008,1.2298966588352727,0.0,1.509542465209961,0.0,0.0,0.9572584247813366,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026300,2025,2,WAS,QB,0.0008011966090993502,78.9401475214585,0.06324657851599502,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.326790921196524,0.0,0.00548976167592487,248.47364110768106,1.3640610724304578,0.0,0.7282593846321106,0.0,0.0,1.0630245511991825,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026300,2025,3,WAS,QB,0.0008132880444995189,144.74724427673632,0.11772120324452107,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.4181348926212176,0.0,0.00548976167592487,169.2472964414838,0.9291273217583533,0.0,0.4822942316532135,0.0,0.0,0.31904375407323887,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026300,2025,4,WAS,QB,0.0,117.54679953787985,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.6675437178810831,0.0,0.0,232.88772053970297,0.0,0.0,1.902181625366211,0.0,0.0,0.7553889071966067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026300,2025,5,WAS,QB,0.0,142.1747983031722,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.30090395376493,0.0,0.0,224.92469689120867,0.0,0.0,2.025763511657715,0.0,0.0,0.3374302052851259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026300,2025,6,WAS,QB,0.0,152.05691947379012,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8484650385566718,0.0,0.0,190.92297765912352,0.0,0.0,1.140295147895813,0.0,0.0,0.654795672789348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026300,2025,7,WAS,QB,0.0,119.21964824850195,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.3277152809680122,0.0,0.0,217.02922990929895,0.0,0.0,1.002231240272522,0.0,0.0,0.7934715077269969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0026300,2025,8,WAS,QB,0.0,91.72328774647283,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.36565540179639633,0.0,0.0,194.73405489077604,0.0,0.0,1.049975037574768,0.0,0.0,0.8397762395979845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
